	HUMAN	ANTI_P	ANTI_H	ANTI_F	ANTI_B
Persoonia	0	0	0	0	0
Petrophile	0	0	0	0	0
Aconitum	1	0	0	0	0
Actaea	1	0	0	0	0
Aquilegia	1	0	0	1	1
Cissampelos	1	1	1	1	1
Coptis	1	1	0	1	1
Corydalis	1	0	0	0	1
Coscinium	1	1	1	0	1
Fibraurea	1	1	0	0	1
Ranunculus	1	1	0	1	1
Sanguinaria	1	1	1	1	1
Archiboehmeria	0	0	0	0	0
Boehmeria	1	0	0	1	0
Ceanothus	0	0	0	0	0
Cecropia	1	0	0	0	0
Droguetia	0	0	0	0	0
Ficus	1	0	0	1	1
Forsskaolea	1	0	0	0	0
Fragaria	1	0	0	0	1
Malus	1	0	1	1	1
Morus	1	1	1	1	1
Myriocarpa	0	0	0	0	0
Neodistemon	0	0	0	0	0
Parietaria	1	0	0	0	1
Pellionia	0	0	0	0	0
Pilea	0	0	0	0	0
Pipturus	1	0	0	0	1
Prunus	1	1	1	1	1
Pyrus	1	0	0	0	1
Rosa	1	0	0	1	0
Rubus	1	1	0	1	1
Sarcomphalus	0	0	0	0	0
Urera	0	0	0	0	0
Ziziphus	1	0	1	1	1
Anthobolus	0	0	0	0	0
Antidaphne	0	0	0	0	0
Benthamina	0	0	0	0	0
Berhautia	0	0	0	0	0
Cecarria	0	0	0	0	0
Cervantesia	0	0	0	0	0
Chaunochiton	1	0	0	0	0
Choretrum	0	0	0	0	0
Comandra	1	0	0	0	1
Dactylanthus	0	0	0	0	0
Decaisnina	0	0	0	0	0
Diogoa	0	0	0	0	0
Dulacia	0	0	0	0	0
Ileostylus	0	0	0	0	0
Jodina	1	0	0	0	1
Lepidoceras	0	0	0	0	0
Lepionurus	1	0	0	0	1
Leptomeria	0	0	0	0	0
Loranthus	0	0	0	0	0
Loxanthera	0	0	0	0	0
Malania	1	0	0	0	0
Nuytsia	0	0	0	0	0
Octoknema	0	0	0	0	0
Olax	1	0	0	0	0
Oliverella	0	0	0	0	0
Omphacomeria	0	0	0	0	0
Oncella	1	0	0	0	0
Ongokea	1	1	0	0	1
Osyridicarpos	1	0	0	0	0
Pentarhopalopilia	0	0	0	0	0
Phragmanthera	0	0	0	0	0
Ptychopetalum	0	0	0	0	0
Rhoiacarpos	0	0	0	0	0
Schoepfia	1	0	0	0	0
Scorodocarpus	1	1	0	1	1
Septulina	0	0	0	0	0
Strombosiopsis	1	0	0	0	0
Taxillus	1	0	0	0	0
Thesium	1	0	0	0	1
Anacardium	1	1	1	1	1
Biebersteinia	0	0	0	0	0
Citrus	1	1	1	1	1
Litchi	1	0	0	0	1
Mangifera	1	1	0	1	1
Nitraria	0	0	0	0	0
Xanthoceras	1	0	0	0	1
Aphanopetalum	0	0	0	0	0
Crassula	0	0	0	0	0
Myriophyllum	1	0	0	0	0
Mytilaria	0	0	0	0	0
Paeonia	0	0	0	0	0
Proserpinaca	0	0	0	0	0
Rhodoleia	0	0	0	0	0
Capsicum	1	1	1	1	1
Convolvulus	1	0	1	0	1
Evolvulus	0	0	0	0	0
Ipomoea	1	0	1	0	0
Nicotiana	1	0	1	1	1
Schizanthus	0	0	0	0	0
Solanum	1	0	1	1	1
Sphenoclea	0	0	0	1	1
Withania	1	1	1	1	1
Leea	1	1	0	1	1
Tetrastigma	1	0	0	0	1
Vitis	1	1	0	1	1
Costus	1	0	1	0	0
Curcuma	1	1	1	1	1
Hedychium	1	0	1	1	1
Musa	1	1	1	1	1
Orchidantha	0	0	0	0	0
Riedelia	NA	NA	NA	0	NA
Larrea	1	1	1	1	1
Mylia	0	0	0	0	0
Preissia	0	0	0	0	0
Neohodgsonia	0	0	0	0	0
Cheilolejeunea	0	0	0	0	0
Lejeunea	0	0	0	0	0
Treubia	0	0	0	0	0
Acrostichum	1	0	1	0	1
Adiantum	1	0	0	0	1
Azolla	0	0	0	0	1
Picea	1	0	0	1	1
Pinus	0	0	1	0	1
Carpoglyphus	0	0	0	0	0
Stomacarus	0	0	0	0	0
Tetranychus	0	0	0	0	0
InvQuercu	0	0	0	0	0
Lasioseius	0	0	0	0	0
Zoysia	0	0	0	0	0
Hemileius	0	0	0	0	0
Scheloribates	0	0	0	0	0
Oulenziella	0	0	0	0	0
Crotonia	0	0	0	0	0
Canestrinia	0	0	0	0	0
Paralycus	0	0	0	0	0
Platynothrus	0	0	0	0	0
Oribatula	0	0	0	0	0
InvBrassic	0	0	0	0	0
InvBet	0	0	0	0	0
Panonychus	0	0	0	0	0
Onthophagus	0	0	0	0	0
Terpnacarus	0	0	0	0	0
Penthaleus	0	0	0	0	0
Macrocheles	0	0	0	0	0
Rostrozetes	0	0	0	0	0
Sellea	0	0	0	0	0
Czenspinskia	0	0	0	0	0
Eupelops	0	0	0	0	0
Unguizetes	0	0	0	0	0
Nehypochthonius	0	0	0	0	0
Protoribates	0	0	0	0	0
Archegozetes	0	0	0	0	0
Demodex	0	0	0	0	0
Prototritia	0	0	0	0	0
Dermatophagoides	0	0	0	0	0
Haplochthonius	0	0	0	0	0
Eniochthonius	0	0	0	0	0
Oripoda	0	0	0	0	0
Picidectes	0	0	0	0	0
Lardoglyphus	0	0	0	0	0
Pergamasus	0	0	0	0	0
Oryzomyopus	0	0	0	0	0
Tortonia	0	0	0	0	0
Phorytocarpais	0	0	0	0	0
Histiostomatidae	0	0	0	0	0
Cerophagus	0	0	0	0	0
Kanoetus	0	0	0	0	0
Gamasiphis	0	0	0	0	0
Histiostoma	0	0	0	0	0
Ctenacarus	0	0	0	0	0
Cosmochthonius	0	0	0	0	0
Cosmoglyphus	0	0	0	0	0
Myobia	0	0	0	0	0
Rhizoglyphus	0	0	0	0	0
Malaconothrus	0	0	0	0	0
Cyrthermannia	0	0	0	0	0
Rhysotritia	0	0	0	0	0
Trhypochthonius	0	0	0	0	0
Musicodamon	0	0	0	0	0
Euphrynichus	0	0	0	0	0
Mecysmauchenius	0	0	0	0	0
Draconarius	0	0	0	0	0
Nephila	0	0	0	0	0
Talaus	0	0	0	0	0
Xysticus	0	0	0	0	0
Araneoidea	0	0	0	0	0
Microdipoena	0	0	0	0	0
Neoscona	0	0	0	0	0
Araneus	0	0	0	0	0
Pardosa	0	0	0	0	0
Oxyopes	0	0	0	0	0
Stiphropus	0	0	0	0	0
Alcimochthes	0	0	0	0	0
Mecaphesa	0	0	0	0	0
Thomisidae	0	0	0	0	0
Tegenaria	0	0	0	0	0
Stegodyphus	0	0	0	0	0
Palpimanus	0	0	0	0	0
Xyphinus	0	0	0	0	0
Weintrauboa	0	0	0	0	0
Tridysderina	0	0	0	0	0
Trachelas	0	0	0	0	0
Anelosimus	0	0	0	0	0
Rahavavy	0	0	0	0	0
Theromaster	0	0	0	0	0
Fahrenholzia	0	0	0	0	0
Austropsopilio	0	0	0	0	0
Prionostemma	0	0	0	0	0
Fissiphallius	0	0	0	0	0
Sycophaga	0	0	0	0	0
Fangensis	0	0	0	0	0
Zootermopsis	0	0	0	0	0
Leiobunidae	0	0	0	0	0
Mesobuthus	0	0	0	0	0
Callipallene	0	0	0	0	0
Ammothella	0	0	0	0	0
Artemia	0	0	0	0	0
Chydorus	0	0	0	0	0
Jassa	0	0	0	0	0
Anchialina	0	0	0	0	0
Eriocheir	0	0	0	0	0
Paramesopodopsis	0	0	0	0	0
Holmesimysis	0	0	0	0	0
Reighardia	0	0	0	0	0
Tigriopus	0	0	0	0	0
Daphnia	0	0	0	0	0
Orchesella	0	0	0	0	0
Anurida	0	0	0	0	0
Isotomurus	0	0	0	0	0
Pogonognathellus	0	0	0	0	0
Crossodonthina	0	0	0	0	0
Sminthurus	0	0	0	0	0
Dactylopius	0	0	0	0	0
Fannia	0	0	0	0	0
Alloteratura	0	0	0	0	0
Blattella	0	0	0	0	0
Valgus	0	0	0	0	0
Triatoma	0	0	0	0	0
Sarcophaga	0	0	0	0	0
Trabutina	0	0	0	0	0
Maconellicoccus	0	0	0	0	0
Mycetophagus	0	0	0	0	0
Anisochrysa	0	0	0	0	0
Myrmecopterina	0	0	0	0	0
Sitodiplosis	0	0	0	0	0
Signiphora	0	0	0	0	0
Aonidiella	0	0	0	0	0
Perola	0	0	0	0	0
Pyrrhocoris	0	0	0	0	0
Holoparamecus	0	0	0	0	0
Thaumatomyia	0	0	0	0	0
Sephena	0	0	0	0	0
Homalodisca	0	0	0	0	0
Trioza	0	0	0	0	0
Xenanastatus	0	0	0	0	0
Cycloneda	0	0	0	0	0
Ornithoica	0	0	0	0	0
Drosophila	0	0	0	0	0
Bactrocera	0	0	0	0	0
Blattidae	0	0	0	0	0
Gargara	0	0	0	0	0
Hemerobius	0	0	0	0	0
Hartigia	0	0	0	0	0
Pieris	0	0	0	0	0
Sphyrometopa	0	0	0	0	0
Pharaxonotha	0	0	0	0	0
Musca	0	0	0	0	0
Microcentrum	0	0	0	0	0
Beameromyia	0	0	0	0	0
Heterogaster	0	0	0	0	0
Platyscapa	0	0	0	0	0
Frankliniella	0	0	0	0	0
Lagriinae	0	0	0	0	0
Glossina	0	0	0	0	0
Dryadaula	0	0	0	0	0
Gimantis	0	0	0	0	0
Ptyssoptera	0	0	0	0	0
Sceptuchus	0	0	0	0	0
Spondyliaspidinae	0	0	0	0	0
Notaris	0	0	0	0	0
Psychomora	0	0	0	0	0
Mylassa	0	0	0	0	0
Conura	0	0	0	0	0
Holochlora	0	0	0	0	0
Megalurothrips	0	0	0	0	0
Pteroptrix	0	0	0	0	0
Apis	0	0	0	0	0
Mayetiola	0	0	0	0	0
Leptothorax	0	0	0	0	0
Pristoderus	0	0	0	0	0
Samia	0	0	0	0	0
Cleonymus	0	0	0	0	0
Demarziella	0	0	0	0	0
Scolia	0	0	0	0	0
Monacon	0	0	0	0	0
Orthodera	0	0	0	0	0
Perthiola	0	0	0	0	0
Dastarcus	0	0	0	0	0
Pseudanaphothrips	0	0	0	0	0
Agapytho	0	0	0	0	0
Clastoptera	0	0	0	0	0
Spalangiopelta	0	0	0	0	0
Ferrisia	0	0	0	0	0
Papilio	0	0	0	0	0
Ceratosolen	0	0	0	0	0
Chilo	0	0	0	0	0
Oreogeton	0	0	0	0	0
Lipocalliini	0	0	0	0	0
Extatosoma	0	0	0	0	0
Petipirene	0	0	0	0	0
Ommatius	0	0	0	0	0
Anastrepha	0	0	0	0	0
Aphis	0	0	0	0	0
Eretmocerus	0	0	0	0	0
Eurytoma	0	0	0	0	0
Lipolexis	0	0	0	0	0
Xylocopa	0	0	0	0	0
Ceratitis	0	0	0	0	0
Ormenis	0	0	0	0	0
Aidos	0	0	0	0	0
Trichogramma	0	0	0	0	0
Chiletricha	0	0	0	0	0
Truxalis	0	0	0	0	0
Haematobia	0	0	0	0	0
Sciobia	0	0	0	0	0
Thrips	0	0	0	0	0
Eulaema	0	0	0	0	0
Bolitophila	0	0	0	0	0
Nasutitermes	0	0	0	0	0
Polistes	0	0	0	0	0
Dalcerides	0	0	0	0	0
Cirrospilus	0	0	0	0	0
Languria	0	0	0	0	0
Loxostege	0	0	0	0	0
Monochamus	0	0	0	0	0
Boros	0	0	0	0	0
Leptacinus	0	0	0	0	0
Oxytelus	0	0	0	0	0
Caprithrips	0	0	0	0	0
Myllaena	0	0	0	0	0
Frieseomelitta	0	0	0	0	0
Barbitistes	0	0	0	0	0
Platydecticus	0	0	0	0	0
Carausius	0	0	0	0	0
Veronatus	0	0	0	0	0
Elasmostethus	0	0	0	0	0
Aphelinus	0	0	0	0	0
Tanaocerus	0	0	0	0	0
Orasema	0	0	0	0	0
Lipara	0	0	0	0	0
Anchomenus	0	0	0	0	0
Georissus	0	0	0	0	0
Phaloria	0	0	0	0	0
Stenotarsus	0	0	0	0	0
Ruspolia	0	0	0	0	0
Anchastus	0	0	0	0	0
Scaralis	0	0	0	0	0
Pegesimallus	0	0	0	0	0
Acanthocasuarina	0	0	0	0	0
Trox	0	0	0	0	0
Eudarcia	0	0	0	0	0
Exorista	0	0	0	0	0
Microplitis	0	0	0	0	0
Spissistilus	0	0	0	0	0
Bemisia	0	0	0	0	0
Plutella	0	0	0	0	0
Omus	0	0	0	0	0
Graminella	0	0	0	0	0
Saropogon	0	0	0	0	0
Hermetia	0	0	0	0	0
Noia	0	0	0	0	0
Bombyx	0	0	0	0	0
Rhopalotria	0	0	0	0	0
Cryptogonus	0	0	0	0	0
Xyela	0	0	0	0	0
Leptopilina	0	0	0	0	0
Urodontus	0	0	0	0	0
Poecilomerus	0	0	0	0	0
Euryischomyia	0	0	0	0	0
Udeocoris	0	0	0	0	0
Ayyaria	0	0	0	0	0
Hoplistomerus	0	0	0	0	0
Diaphorina	0	0	0	0	0
Nephrotoma	0	0	0	0	0
Allenhyphes	0	0	0	0	0
Car	0	0	0	0	0
Leucospis	0	0	0	0	0
Elimaea	0	0	0	0	0
Rhyzobius	0	0	0	0	0
Dendroxena	0	0	0	0	0
Catonia	0	0	0	0	0
Coptodactyla	0	0	0	0	0
Atacamacris	0	0	0	0	0
Chironomus	0	0	0	0	0
Ormyrulus	0	0	0	0	0
Arachnophaga	0	0	0	0	0
Liposcelis	0	0	0	0	0
Opomydas	0	0	0	0	0
Tessaratoma	0	0	0	0	0
Stiphrolamyra	0	0	0	0	0
Hemigephyra	0	0	0	0	0
Perasis	0	0	0	0	0
Spelobia	0	0	0	0	0
Mycetina	0	0	0	0	0
Callicentrus	0	0	0	0	0
Conocephalus	0	0	0	0	0
Fulgoridae	0	0	0	0	0
Nephus	0	0	0	0	0
Sericoderus	0	0	0	0	0
Carpophilus	0	0	0	0	0
Meropathus	0	0	0	0	0
Hypothenemus	0	0	0	0	0
Drusilla	0	0	0	0	0
Tetraopes	0	0	0	0	0
Anaphothrips	0	0	0	0	0
Atractomorpha	0	0	0	0	0
Caccobius	0	0	0	0	0
Epirinus	0	0	0	0	0
Saphobius	0	0	0	0	0
Ateuchus	0	0	0	0	0
Paronthobium	0	0	0	0	0
Scarabaeus	0	0	0	0	0
Helictopleurus	0	0	0	0	0
Sarophorus	0	0	0	0	0
Scybalocanthon	0	0	0	0	0
Phalops	0	0	0	0	0
Megathoposoma	0	0	0	0	0
Anachalcos	0	0	0	0	0
Saphophagus	0	0	0	0	0
Anthonomus	0	0	0	0	0
Dryophthorus	0	0	0	0	0
Ocladius	0	0	0	0	0
Megauchenia	0	0	0	0	0
Holcocephala	0	0	0	0	0
Dirhinus	0	0	0	0	0
Dinoponera	0	0	0	0	0
Diphetor	0	0	0	0	0
Episyrphus	0	0	0	0	0
Lonchoptera	0	0	0	0	0
Aedes	0	0	0	0	0
Molobratia	0	0	0	0	0
Afroestricus	0	0	0	0	0
Laphystia	0	0	0	0	0
Prorates	0	0	0	0	0
Pelmatosilpha	0	0	0	0	0
Cartodere	0	0	0	0	0
Willistonina	0	0	0	0	0
Sphaeropsocidae	0	0	0	0	0
Lucilia	0	0	0	0	0
Phytomyza	0	0	0	0	0
InvPhaseolu	0	0	0	0	0
Caliothrips	0	0	0	0	0
Siphanta	0	0	0	0	0
Holotrichapion	0	0	0	0	0
Chlamydatus	0	0	0	0	0
Sphenophorus	0	0	0	0	0
Anagrus	0	0	0	0	0
Hypodacnella	0	0	0	0	0
Anascirtothrips	0	0	0	0	0
Trigonotylus	0	0	0	0	0
Proboscidoplocia	0	0	0	0	0
Belgica	0	0	0	0	0
Diplocoelus	0	0	0	0	0
Tettigonia	0	0	0	0	0
Urolabida	0	0	0	0	0
Nyctibora	0	0	0	0	0
Meilichius	0	0	0	0	0
Thyreus	0	0	0	0	0
Trochoideus	0	0	0	0	0
Minettia	0	0	0	0	0
Paracercopis	0	0	0	0	0
Indalmus	0	0	0	0	0
Leptataspis	0	0	0	0	0
Acricotopus	0	0	0	0	0
Rhipidia	0	0	0	0	0
Bactridium	0	0	0	0	0
Plesiomma	0	0	0	0	0
Baetis	0	0	0	0	0
Nabinae	0	0	0	0	0
Haltichella	0	0	0	0	0
Hypselosoma	0	0	0	0	0
Epilachna	0	0	0	0	0
Corixidae	0	0	0	0	0
Dendrophilus	0	0	0	0	0
