	BG0602	BG0702	BG0716	BG0728	BP0701	BP0719	CK0702	CK0705	CK0713	CK0717	LM0708	LM0709	LM0710	LM0711	LM0716	MK0710	MK0713	MK0718	MK0727	MK0729	PL0703	PL0708	PL0710	PU0601	PU0612	PU0614	PU0733	PU0754	PU0756	PU0791	TK0601	TK0702	TK0704	TK0705	TK0711	TK0712	TK0713	UL0708	UL0718	UL0720	PU0725B	PU0737B	AN0716	AS0701b	AS0702	BG0710A	BG0715	BG0727	BG0736	BP0717	BT0701	CK0707	CK0708A	LM0705	MK0721	MK0725	PL0702A	PU0718A	PU0723A	PU0724	PU0726	PU0740A	TK0706	UL0722
Austrobaileya	0	0	8	56	7	145	51	11	0	0	164	33	42	19	29	0	0	0	0	46	0	119	45	0	0	0	10	21	36	14	0	42	0	0	0	9	0	0	50	93	0	0	0	997	10	0	8	20	13	14897	14	0	0	0	129	0	1067	18	14	0	7	0	0	8
Ehretia	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
Oreocarya	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arabidopsis	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arabis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	573	0	0	0	0	0	165	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151
Brassica	0	0	0	0	0	37	0	6	0	0	11	0	0	0	0	0	0	0	0	0	0	87	0	0	0	14	0	46	0	0	17	0	37	92	0	6	21	0	0	0	0	0	0	1672	0	0	0	11	14	13	0	117	0	0	0	0	62	0	0	0	0	0	8	15
Carica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conringia	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepidium	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salvadora	0	0	0	0	0	0	0	0	0	0	0	38	0	52	17	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	49	0	0	0	0	0	0	17	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
