	Crop
Cajanus	1
Chamaecrista	0
Cicer	1
Erythrina	0
Glycine	1
Ladeania	0
Lupinus	0
Medicago	0
Mezoneuron	0
Phaseolus	1
Polygala	0
Senna	0
Vigna	1
Wisteria	0
Zenia	0
Betula	0
Carya	1
Morella	0
Nothofagus	0
Quercus	0
Garrya	0
Asclepias	0
Calotropis	0
Coffea	1
Eustoma	0
Exochaenium	0
Lisianthius	0
Luculia	0
Neolamarckia	0
Ophiorrhiza	0
Pentas	0
Psychotria	0
Pycnosphaera	0
Rhazya	0
Rogiera	0
Schinziella	0
Schultesia	0
Swertia	0
Voyria	0
Voyriella	0
Tapiscia	0
Nothapodytes	0
Andrographis	0
Avicennia	0
Calceolaria	0
Conopholis	0
Dorcoceras	0
Erythranthe	0
Fraxinus	0
Gratiola	0
Hesperelaea	0
Hyobanche	0
Mazus	0
Melampyrum	0
Monarda	0
Nepeta	0
Olea	1
Paulownia	0
Perilla	1
Phryma	0
Phtheirospermum	0
Pogostemon	0
Rehmannia	0
Salvia	0
Schizonepeta	0
Schlegelia	0
Scrophularia	0
Sesamum	1
Teucrium	0
Torenia	0
Utricularia	0
Beilschmiedia	0
Cassytha	0
Cinnamomum	0
Cryptocarya	0
Doryphora	0
Hedycarya	0
Hortonia	0
Palmeria	0
Persea	1
Siparuna	0
Calochortus	0
Campynema	0
Colchicum	0
Corsia	0
Gloriosa	0
Lilium	0
Petermannia	0
Rhipogonum	0
Trillium	0
Veratrum	0
Knema	0
Myristica	1
Adenocline	0
Bhesa	0
Calophyllum	0
Carallia	0
Euphorbia	0
Flacourtia	1
Hevea	0
Humiria	0
Hypericum	0
Jatropha	0
Licania	0
Linum	0
Manihot	1
Parinari	0
Picrodendron	0
Plukenetia	1
Populus	0
Quiina	0
Ricinus	0
Rinorea	0
Salix	0
Viola	0
Anisoptera	0
Aquilaria	0
Gossypium	0
Grewia	0
Hibiscus	0
Sterculia	0
Eucalyptus	0
Oenothera	0
Osbeckia	0
Psidium	0
Punica	1
Trapa	0
Brasenia	0
Cabomba	0
Nymphaea	0
Afrostyrax	0
Averrhoa	0
Connarus	0
Elaeocarpus	0
Hua	0
Platytheca	0
Acanthochlamys	0
Andruris	0
Carludovica	0
Freycinetia	0
Kihansia	0
Ludovia	0
Pandanus	0
Pentastemona	0
Sciaphila	0
Seychellaria	0
Stemona	0
Talbotia	0
Triuris	0
Paracryphia	0
Houttuynia	0
Piper	0
Saruma	0
Aegilops	0
Ananas	1
Brachypodium	0
Chasechloa	0
Ecdeiocolea	0
Guzmania	0
Hordeum	1
Mayaca	0
Oropetium	0
Oryza	1
Saccharum	1
Sorghum	1
Sparganium	0
Sporobolus	0
Triticum	1
Zea	1
Zizania	1
Macadamia	0
Nelumbo	0
Persoonia	0
Aconitum	0
Actaea	0
Aquilegia	0
Arcangelisia	0
Cissampelos	0
Clematis	0
Coptis	0
Corydalis	0
Coscinium	0
Fibraurea	0
Ranunculus	0
Sanguinaria	0
Thalictrum	0
Archiboehmeria	0
Boehmeria	0
Cannabis	0
Ceanothus	0
Cecropia	0
Didymodoxa	0
Dirachma	0
Droguetia	0
Ficus	0
Fragaria	1
Maclura	0
Malus	1
Morus	1
Neodistemon	0
Parietaria	0
Pilea	0
Pipturus	0
Prunus	1
Pyrus	1
Sarcomphalus	0
Ziziphus	1
Anthobolus	0
Antidaphne	0
Balanophora	0
Benthamina	0
Berhautia	0
Cecarria	0
Cervantesia	0
Chaunochiton	0
Choretrum	0
Comandra	0
Decaisnina	0
Diogoa	0
Dulacia	0
Erythropalum	0
Ileostylus	0
Jodina	0
Lepidoceras	0
Lepionurus	0
Leptomeria	0
Loranthus	0
Loxanthera	0
Macrosolen	0
Malania	0
Nuytsia	0
Octoknema	0
Olax	0
Oliverella	0
Omphacomeria	0
Oncella	0
Ongokea	0
Osyridicarpos	0
Osyris	0
Pentarhopalopilia	0
Phragmanthera	0
Ptychopetalum	0
Rhoiacarpos	0
Schoepfia	0
Scorodocarpus	0
Septulina	0
Taxillus	0
Thesium	0
Thonningia	0
Anacardium	1
Atalantia	0
Biebersteinia	0
Citrus	1
Litchi	1
Mangifera	1
Nitraria	0
Xanthoceras	0
Aphanopetalum	0
Crassula	0
Myriophyllum	0
Mytilaria	0
Paeonia	0
Proserpinaca	0
Rhodoleia	0
Capsicum	1
Convolvulus	0
Evolvulus	0
Ipomoea	1
Nicotiana	0
Solanum	1
Sphenoclea	0
Withania	0
Leea	0
Vitis	1
Costus	0
Curcuma	1
Hedychium	0
Musa	1
Orchidantha	0
Larrea	0
Reboulia	0
Lejeunea	0
Acrostichum	0
Adiantum	0
Azolla	0
Taxus	0
Picea	0
Pinus	0
Carpoglyphus	0
Tetranychus	0
InvQuercu	0
Lasioseius	0
Zoysia	0
Hemileius	0
Scheloribates	0
Plenotocepheus	0
Oulenziella	0
Crotonia	0
Scapheremaeus	0
Oribatula	0
InvBet	0
Hydrozetes	0
Panonychus	0
Tenuipalpus	0
Onthophagus	0
Liebstadia	0
Maculobates	0
Terpnacarus	0
Liacarus	0
Sennertionyx	0
Haemaphysalis	0
Gehypochthonius	0
Cosmolaelaps	0
Sellea	0
Chortoglyphus	0
Hyadesia	0
Musicodamon	0
Euphrynichus	0
Heterophrynus	0
Stygophrynus	0
Mecysmauchenius	0
Draconarius	0
Nephila	0
Misgolas	0
Talaus	0
Xysticus	0
Araneoidea	0
Sparassidae	0
Semysmauchenius	0
Zearchaea	0
Neoscona	0
Huttonia	0
Enoplognatha	0
Araneus	0
Oxyopidae	0
Pardosa	0
Oxyopes	0
Stiphropus	0
Scaphidysderina	0
Mecaphesa	0
Mesarchaea	0
Idastrandia	0
Thomisidae	0
Herennia	0
Lucetia	0
Mopsus	0
Uloborus	0
Palpimanidae	0
Stegodyphus	0
Misumena	0
Gelanor	0
Cheiracanthium	0
Borboropactus	0
Stypiura	0
Theromaster	0
Eukoebelea	0
Prionostemma	0
Acropsopilio	0
Deraeocoris	0
Sycophaga	0
Hoplobunus	0
Grosphus	0
Lychas	0
Mesobuthus	0
Artemia	0
Mysidella	0
Jassa	0
Proasellus	0
Paranthura	0
Tenupedunculus	0
Lirceus	0
Metamysidopsis	0
Penaeus	0
Raillietiella	0
Reighardia	0
Hispania	0
Tigriopus	0
Nitokra	0
Cypridopsis	0
Orchesella	0
Paronellides	0
Sminthurinus	0
Anurida	0
Xenylla	0
Podura	0
Dactylopius	0
Fannia	0
Alloteratura	0
Hexacentrus	0
Blattella	0
Valgus	0
Laemophloeus	0
Cetonia	0
Dynastes	0
Triatoma	0
Sarcophaga	0
Trabutina	0
Maconellicoccus	0
Weissenbornia	0
Acnephalum	0
Mycetophagus	0
Anisochrysa	0
Myrmecopterina	0
Cryptognatha	0
Sitodiplosis	0
Signiphora	0
Aonidiella	0
Planococcus	0
Perola	0
Pyrrhocoris	0
Thaumatomyia	0
Sephena	0
Homalodisca	0
Trioza	0
Xenanastatus	0
Cycloneda	0
Hemicharilaus	0
Ornithoica	0
Drosophila	0
Bactrocera	0
Blattidae	0
Idionychus	0
Gargara	0
Henestaris	0
Hartigia	0
Chrysochus	0
Pycnomerus	0
Pieris	0
Sphyrometopa	0
Lithurgus	0
Pharaxonotha	0
Musca	0
Beameromyia	0
Heterogaster	0
Platyscapa	0
Frankliniella	0
Lagriinae	0
Themira	0
Glossina	0
Dryadaula	0
Gimantis	0
Liparetrus	0
Ptyssoptera	0
Acanthoproctus	0
Penthicodes	0
Phyllium	0
Sceptuchus	0
Spondyliaspidinae	0
Notaris	0
Astichus	0
Psychomora	0
Mylassa	0
Sathrophyllia	0
Conura	0
Holochlora	0
Megalurothrips	0
Pteroptrix	0
Apis	0
Mayetiola	0
Leptothorax	0
Pristoderus	0
Systropha	0
Samia	0
Hoplosphyrum	0
Cleonymus	0
Demarziella	0
Acanthochalcis	0
Lysiphlebus	0
Orthodera	0
Cephalonomia	0
Perthiola	0
Dastarcus	0
Chrysis	0
Linepithema	0
Acerophagus	0
Pseudanaphothrips	0
Ophthalmothrips	0
Glischrochilus	0
Agapytho	0
Clastoptera	0
Spalangiopelta	0
Megastigmus	0
Lestremia	0
Ferrisia	0
Taeniothrips	0
Papilio	0
Ceratosolen	0
Chilo	0
Oreogeton	0
Lipocalliini	0
Extatosoma	0
Eugryllacris	0
Eucera	0
Petipirene	0
Homeomastax	0
Lycorma	0
Ommatius	0
Anastrepha	0
Aphis	0
Pison	0
Gryllacrididae	0
Catotricha	0
Eretmocerus	0
Hyposoter	0
Parischnogaster	0
Sipyloidea	0
Eurytoma	0
Lipolexis	0
Masneroma	0
Xylocopa	0
Ceratitis	0
Ormenis	0
Porismus	0
Mychothenus	0
Aidos	0
Chiletricha	0
Truxalis	0
Haematobia	0
Lauraesilpha	0
Cystosoma	0
Sciobia	0
Trionymus	0
Megaspilus	0
Callimenellus	0
Thrips	0
Eupelmus	0
Paracoccus	0
Sepedophilus	0
Thymalus	0
Himantopterus	0
Antheraea	0
Phthorimaea	0
Ostrinia	0
Nasutitermes	0
Polistes	0
Dalcerides	0
Cephalostenus	0
Cirrospilus	0
Bothrideres	0
Loxostege	0
Lipotactes	0
Zygaena	0
Monochamus	0
Boros	0
Thalycra	0
Triarthria	0
Caenocholax	0
Balta	0
Hyalodictyon	0
Teichostethus	0
Calopteron	0
Leptacinus	0
Oxytelus	0
Froggattoides	0
Caprithrips	0
Phyllozelus	0
Rhinotia	0
Eomantis	0
Podagrion	0
Monocoryna	0
Acauloplacella	0
Medauroidea	0
Chelostoma	0
Anthophora	0
Frieseomelitta	0
Barbitistes	0
Platydecticus	0
Carausius	0
Veronatus	0
Elasmostethus	0
Anisoplia	0
Rhyparobia	0
Australothrips	0
Aphelinus	0
Cranothrips	0
Tanaocerus	0
Cenophengus	0
Orasema	0
Phloeocharis	0
Omalisus	0
Halyzia	0
Lipara	0
Anchomenus	0
Georissus	0
Adscita	0
Chelymorpha	0
Phaloria	0
Selonodon	0
Lara	0
Idioporus	0
Adelocera	0
Procraerus	0
Zitsikama	0
Ruspolia	0
Astata	0
Laricobius	0
Cryptalaus	0
Anchastus	0
Psyllidae	0
Pachygrontha	0
Nothochrysa	0
Scaralis	0
Pegesimallus	0
Chondracris	0
Acanthocasuarina	0
Protonemura	0
Diploptera	0
Pealius	0
Campyloneura	0
Meconema	0
Sirrhas	0
Arilus	0
Rhabdoblatta	0
Meloimorpha	0
Eudarcia	0
Exorista	0
Tympanophora	0
Microplitis	0
Deiphobe	0
Aerotegmina	0
Hormetica	0
Dromius	0
Petasodes	0
Trialeurodes	0
Troglophilus	0
Spissistilus	0
Bemisia	0
Plutella	0
Orchelimum	0
Cyrtotria	0
Neptosternus	0
Ischnoptera	0
Omus	0
Hemimirollia	0
Anaspis	0
Diaprepes	0
Perigona	0
Laccophilus	0
Scelimena	0
Sagriva	0
Metaphycus	0
Decameria	0
Mantis	0
Graminella	0
Calliscelio	0
Saropogon	0
Deiphobella	0
Teleutias	0
Hemimerus	0
Hermetia	0
Austrodontura	0
Hemideina	0
Noia	0
Rhopalotria	0
Lorditomaeus	0
Cryptogonus	0
Idastrandiella	0
Capenopsis	0
Xyela	0
Urochela	0
Phlebopenes	0
Paraphloeostiba	0
Carpelimus	0
Crioceris	0
Urodontus	0
Hadrogryllacris	0
Glenophisis	0
Schlettererius	0
Sinorsillus	0
Poecilomerus	0
Desmothrips	0
Euryischomyia	0
Belocephalus	0
Syntomus	0
Ayyaria	0
Hoplistomerus	0
Zeugomantispa	0
Diaphorina	0
Apioscelis	0
Systella	0
Pseudogonalos	0
Odontembia	0
Nephrotoma	0
Neostylopyga	0
Hymaea	0
Cerophytum	0
Riptortus	0
Placusa	0
Pterophylla	0
Car	0
Pogonocherus	0
Elimaea	0
Rhyzobius	0
Macropogon	0
Cartomothrips	0
Catonia	0
Euthlastoblatta	0
Dictyophara	0
Coptodactyla	0
Phalacrinus	0
Atacamacris	0
Palorus	0
Arachnophaga	0
Liposcelis	0
Prosopistoma	0
Opomydas	0
Tessaratoma	0
Psinidia	0
Stiphrolamyra	0
Hemigephyra	0
Perasis	0
Spelobia	0
Reuteroscopus	0
Brachytrupes	0
Callicentrus	0
Masaris	0
Jubabaetis	0
Cryptocercus	0
Olophrum	0
Rileya	0
Conocephalus	0
Fulgoridae	0
Metophthalmus	0
Mengenilla	0
Nephus	0
Acisoma	0
Carpophilus	0
Hypothenemus	0
Phrictaetypus	0
Petrobius	0
Okanagana	0
Anaplecta	0
Chasmoptera	0
Eusphalerum	0
Chelisochidae	0
Drepanepteryx	0
Austroneurorthus	0
Asilus	0
Indosema	0
Grylloblatta	0
Ateuchus	0
Trachodes	0
Scarabaeus	0
Nilaparvata	0
Anthonomus	0
Mazarredia	0
Lopidea	0
Dryophthorus	0
Culicoides	0
Metaxina	0
Gallerucida	0
Megauchenia	0
Holcocephala	0
Dinoponera	0
Auplopus	0
Pedetontus	0
Coccobius	0
Ibalia	0
Pleistodontes	0
Scathophaga	0
Lonchoptera	0
Ceraturgus	0
Alipes	0
Clinopodes	0
Paralamyctes	0
Rhysida	0
Shikokuobius	0
Doratogonus	0
Monographis	0
Orthoporus	0
Cylindroiulus	0
Paradoxosomatidae	0
Cylindrotis	0
Trimusculus	0
Zospeum	0
Acusta	0
Alinda	0
Arion	0
Cepaea	0
Limicolaria	0
